NoUr;Document;Extension;Jenis;SortCategory;Category;SortTopic;Topic;Date;LastUpdated;MIMEType;Size;ID;url
6;Surat Edaran Dirjen Pajak Nomor SE-27-PJ-22-1986;1;KUP;0;Dasar Hukum;1;Surat Edaran;25/02/2020 11.08;09/09/2020 11.05;document;0;1y3v7ewCQn8ZSNRBana5lTrB-YvGELeP4YRYfm-34AoQ;https://docs.google.com/document/d/1y3v7ewCQn8ZSNRBana5lTrB-YvGELeP4YRYfm-34AoQ/edit?usp=drivesdk
5;S-393 PJ 02 2016;1;KUP;0;Dasar Hukum;1;Surat Edaran;20/02/2020 15.27;09/09/2020 11.04;document;0;1QTZ0vcUlLd73OSOIUp-4GaFyEVTkToCRCFrl5GwcBVU;https://docs.google.com/document/d/1QTZ0vcUlLd73OSOIUp-4GaFyEVTkToCRCFrl5GwcBVU/edit?usp=drivesdk
4;SE-40/PJ-42/1998;1;KUP;0;Dasar Hukum;1;Surat Edaran;18/02/2020 10.13;09/09/2020 11.04;document;0;1kOi1cFbS7nAElRm_it22_oQJ2kk7Pijngxn1GZlQkls;https://docs.google.com/document/d/1kOi1cFbS7nAElRm_it22_oQJ2kk7Pijngxn1GZlQkls/edit?usp=drivesdk
3;SE-14/PJ/313/1991;1;KUP;0;Dasar Hukum;1;Surat Edaran;18/02/2020 10.13;09/09/2020 11.04;document;0;1759svfFgB7b3VGvfpp2YAkPFDtw48g5pBzw2efBZRKs;https://docs.google.com/document/d/1759svfFgB7b3VGvfpp2YAkPFDtw48g5pBzw2efBZRKs/edit?usp=drivesdk
2;S-22/PJ-02/2016;1;KUP;0;Dasar Hukum;1;Surat Edaran;18/02/2020 10.13;09/09/2020 11.04;document;0;1lXM6AVK9pzr5Kdn0nVw7gMQ6IO5xq-V0--VDHCCMLgw;https://docs.google.com/document/d/1lXM6AVK9pzr5Kdn0nVw7gMQ6IO5xq-V0--VDHCCMLgw/edit?usp=drivesdk
1;S-255/PJ-312/2004;1;KUP;0;Dasar Hukum;1;Surat Edaran;18/02/2020 10.13;09/09/2020 11.04;document;0;1o2H0tyeXqzRrYVxg3h5chsU_PmQXA5JxmEn04G7ZIO0;https://docs.google.com/document/d/1o2H0tyeXqzRrYVxg3h5chsU_PmQXA5JxmEn04G7ZIO0/edit?usp=drivesdk
1;Imbalan Bunga (Ketentuan Sejak 1 Januari 2014);1;KUP;12;Imbalan Bunga;1;Imbalan bunga sejak 1 Januari 2014;18/02/2020 10.09;17/09/2020 11.20;document;0;1RecILhPF2HWccoYdhXfvSFDdbg5Ssa1RSchL_dcxWnE;https://docs.google.com/document/d/1RecILhPF2HWccoYdhXfvSFDdbg5Ssa1RSchL_dcxWnE/edit?usp=drivesdk
5;Tata Cara Pengembalian Kelebihan Pembayaran Pajak yang Seharusnya Tidak Terutang sejak 30 September 2015;1;KUP;11;Restitusi;;;18/02/2020 10.05;17/09/2020 11.21;document;0;1NfQrFK7StbjydDjhEogxfg3Z_LTd5-TdiBkM90kP6oE;https://docs.google.com/document/d/1NfQrFK7StbjydDjhEogxfg3Z_LTd5-TdiBkM90kP6oE/edit?usp=drivesdk
6;Tata Cara Penghitungan Kelebihan Pembayaran PPh PPN dan atau PPnBM;1;KUP;11;Restitusi;;;18/02/2020 10.06;17/09/2020 11.21;document;0;1Lq6_OA1SM-jWme9RMQrQAmdIN9WG13VhVlObrMfpjks;https://docs.google.com/document/d/1Lq6_OA1SM-jWme9RMQrQAmdIN9WG13VhVlObrMfpjks/edit?usp=drivesdk
1;Tata Cara Pengembalian Kelebihan Pembayaran Pajak yang Seharusnya Tidak Terutang sejak 30 September 2015;1;KUP;11;Restitusi;;;18/02/2020 10.05;17/09/2020 11.08;document;0;1GVWYTMEjuuCFPkbwEMm3E6qt8_cNkFhixwueIQ6BbPI;https://docs.google.com/document/d/1GVWYTMEjuuCFPkbwEMm3E6qt8_cNkFhixwueIQ6BbPI/edit?usp=drivesdk
