P#,Document,Extension,Jenis,Category,topic,type,Manual?,Audience,Description,Date,Last Updated,MIME Type,Size,ID,url
1,Saat Dimulainya Kewajiban Perpajakan,,resume-pph,Umum,,,,,,Fri Jan 10 2020 10:03:38 GMT+0800 (HKT),Sun Feb 16 2020 16:19:42 GMT+0800 (HKT),document,0,1Gf1g4SpdKhp-IOB-Nf3Lxwr2OB5U5Ykb2CICsX4NdXc,https://docs.google.com/document/d/1Gf1g4SpdKhp-IOB-Nf3Lxwr2OB5U5Ykb2CICsX4NdXc/edit?usp=drivesdk
2,PPh Pasal 23,,resume-pph,PPh Pasal 23,,,,,,Tue Jan 14 2020 13:39:20 GMT+0800 (HKT),Sun Feb 16 2020 16:19:06 GMT+0800 (HKT),document,0,1ScWjELc7KMd8ESa9e7vZn8tdotjROztpXSXScHSZnAg,https://docs.google.com/document/d/1ScWjELc7KMd8ESa9e7vZn8tdotjROztpXSXScHSZnAg/edit?usp=drivesdk
1,PPh Final atas penghasilan WP yang memiliki peredaran bruto tertentu PP 23 Tahun 2018,,resume-pph,PPh Final Pasal 4 ayat (2),,,,,,Wed Jan 08 2020 09:50:44 GMT+0800 (HKT),Sun Feb 16 2020 15:47:05 GMT+0800 (HKT),document,0,15E6TIZ9Ooc9fhRmtKn68bPv8x4sQGpWlzUuleHwXfic,https://docs.google.com/document/d/15E6TIZ9Ooc9fhRmtKn68bPv8x4sQGpWlzUuleHwXfic/edit?usp=drivesdk
14,Daftar Rekonsiliasi Fiskal Biaya Usaha,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:26:18 GMT+0800 (HKT),Sun Feb 16 2020 14:41:17 GMT+0800 (HKT),document,0,1cVDB1xbk5bkHQ56YNkO179T-FPZMiCZb9Abq5jpZ_xI,https://docs.google.com/document/d/1cVDB1xbk5bkHQ56YNkO179T-FPZMiCZb9Abq5jpZ_xI/edit?usp=drivesdk
13,Contoh Soal Rekonsiliasi Fiskal + Kunci Jawaban,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:26:57 GMT+0800 (HKT),Sun Feb 16 2020 14:41:09 GMT+0800 (HKT),document,0,181CyTb1R0QyMlQboRrytoDQk9_e1D7SPHToJKiqcy6M,https://docs.google.com/document/d/181CyTb1R0QyMlQboRrytoDQk9_e1D7SPHToJKiqcy6M/edit?usp=drivesdk
12,"Biaya SDM (deductible-nondeductible, objek pph 21-bukan objek pph 21)",,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:23:53 GMT+0800 (HKT),Sun Feb 16 2020 14:41:01 GMT+0800 (HKT),document,0,1YZFTXSiVTnMu-TTG0rEsr-sSWmi2KbEF6BQa0HSg0SY,https://docs.google.com/document/d/1YZFTXSiVTnMu-TTG0rEsr-sSWmi2KbEF6BQa0HSg0SY/edit?usp=drivesdk
11,Biaya Promosi,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:23:08 GMT+0800 (HKT),Sun Feb 16 2020 14:40:55 GMT+0800 (HKT),document,0,1DLJIbtVir8NzpEMSUcWP3E3ZzstOn8UDZHV8xubWGPc,https://docs.google.com/document/d/1DLJIbtVir8NzpEMSUcWP3E3ZzstOn8UDZHV8xubWGPc/edit?usp=drivesdk
10,BIAYA FISKAL (PASAL 6 DAN 9 UU PPH),,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:22:10 GMT+0800 (HKT),Sun Feb 16 2020 14:40:47 GMT+0800 (HKT),document,0,1vYyo2WDNjifzD_WZyvpZmo7dAtXtlxNaXwfP3aSdLck,https://docs.google.com/document/d/1vYyo2WDNjifzD_WZyvpZmo7dAtXtlxNaXwfP3aSdLck/edit?usp=drivesdk
9,Biaya Entertainment,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 15:38:12 GMT+0800 (HKT),Sun Feb 16 2020 14:40:39 GMT+0800 (HKT),document,0,1faMFvCaumqHmD1w8shAiGkeWP4Fssk1HqkKN5EQLrVQ,https://docs.google.com/document/d/1faMFvCaumqHmD1w8shAiGkeWP4Fssk1HqkKN5EQLrVQ/edit?usp=drivesdk
8,Biaya Bunga Pinjaman,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:24:18 GMT+0800 (HKT),Sun Feb 16 2020 14:40:31 GMT+0800 (HKT),document,0,1UZTGshJ1dQNYXKt0RFBCUt_rzT7jZjIkSWTr1-ltvtg,https://docs.google.com/document/d/1UZTGshJ1dQNYXKt0RFBCUt_rzT7jZjIkSWTr1-ltvtg/edit?usp=drivesdk
7,Join Cost,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:25:58 GMT+0800 (HKT),Sun Feb 16 2020 14:33:34 GMT+0800 (HKT),document,0,1T3KhVFzAjejl3Uc8suS8BJbvu-BLFw7pMEACjSBpleQ,https://docs.google.com/document/d/1T3KhVFzAjejl3Uc8suS8BJbvu-BLFw7pMEACjSBpleQ/edit?usp=drivesdk
6,Natura-Kenikmatan,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:22:47 GMT+0800 (HKT),Sun Feb 16 2020 14:33:23 GMT+0800 (HKT),document,0,19QDgG9irIj5gt8mW41TU8DaYJ6n3xuV_xozXZ4IRkfY,https://docs.google.com/document/d/19QDgG9irIj5gt8mW41TU8DaYJ6n3xuV_xozXZ4IRkfY/edit?usp=drivesdk
5,Pajak Daerah dan Retribusi Daerah,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:24:39 GMT+0800 (HKT),Sun Feb 16 2020 14:33:14 GMT+0800 (HKT),document,0,1jsSNM47cMzwE64JteTc0jtsQlwcHdkkFvjm6jCv6oHQ,https://docs.google.com/document/d/1jsSNM47cMzwE64JteTc0jtsQlwcHdkkFvjm6jCv6oHQ/edit?usp=drivesdk
4,Pajak Masukan yang Tidak dapat Dikreditkan bisa jadi Pengurang Penghasilan Bruto,,resume-pph,Biaya Fiskal,,,,,,Thu Feb 13 2020 16:25:29 GMT+0800 (HKT),Sun Feb 16 2020 14:33:04 GMT+0800 (HKT),document,0,1DTRxQQtJ4l_8O9vgmFBEoy35rFer2jtkHn6FYfiTp7A,https://docs.google.com/document/d/1DTRxQQtJ4l_8O9vgmFBEoy35rFer2jtkHn6FYfiTp7A/edit?usp=drivesdk
