P#,Document,Extension,Jenis,SortCategory,Category,topic,TopicSort,Date,Last Updated,MIME Type,Size,ID,url
9,Bukan objek PPh,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:37:17 GMT+0800 (HKT),Tue Feb 18 2020 16:39:31 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1m6IcM4nlDv_TYq2YBpwM1bMilMpJaBP3w6xD4-BdJzM,https://docs.google.com/document/d/1m6IcM4nlDv_TYq2YBpwM1bMilMpJaBP3w6xD4-BdJzM/edit?usp=drivesdk
8,Objek PPh,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:35:38 GMT+0800 (HKT),Tue Feb 18 2020 16:39:19 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1WFR9RkpJ2aLe4roJj85PFyzfnjoRaIDZwvZk1p7umtk,https://docs.google.com/document/d/1WFR9RkpJ2aLe4roJj85PFyzfnjoRaIDZwvZk1p7umtk/edit?usp=drivesdk
7,"Hubungan Usaha, Pekerjaan,Kepemilikan atau Penguasaan",,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:35:24 GMT+0800 (HKT),Tue Feb 18 2020 16:39:09 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1QKwNJCL0GNElOWAr_FS7mDyEPF6ZHy0AcqxKlZtyI_U,https://docs.google.com/document/d/1QKwNJCL0GNElOWAr_FS7mDyEPF6ZHy0AcqxKlZtyI_U/edit?usp=drivesdk
6,Keuntungan karena Pembebasan Utang,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:36:20 GMT+0800 (HKT),Tue Feb 18 2020 16:38:58 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1NoYWXOQqkLMBMeM9bRH6ZoadojUDYWiqkfjBIz9Gwjg,https://docs.google.com/document/d/1NoYWXOQqkLMBMeM9bRH6ZoadojUDYWiqkfjBIz9Gwjg/edit?usp=drivesdk
5,"Bantuan, Sumbangan, Zakat yang tidak termasuk Objek Pajak",,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:34:21 GMT+0800 (HKT),Tue Feb 18 2020 16:38:50 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1NdjyDKjMMhEmVWG6i2RLWZGq10kFKOxHQ41d8nrXJsQ,https://docs.google.com/document/d/1NdjyDKjMMhEmVWG6i2RLWZGq10kFKOxHQ41d8nrXJsQ/edit?usp=drivesdk
4,Bantuan atau Santunan yang Dibayarkan oleh Badan Penyelenggara Jaminan Sosial (BPJS),,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:27:04 GMT+0800 (HKT),Tue Feb 18 2020 16:38:41 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),17oXPrlwahwAfsDEGvSdX92H9IHZyU6KvrNAcwjzE-uA,https://docs.google.com/document/d/17oXPrlwahwAfsDEGvSdX92H9IHZyU6KvrNAcwjzE-uA/edit?usp=drivesdk
3,Beasiswa tidak termasuk Objek Pajak,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:34:48 GMT+0800 (HKT),Tue Feb 18 2020 16:38:28 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1DoagNwfTxU8eV5FXzKtc1O5XJ6U5P_YHCNT5rl6O0So,https://docs.google.com/document/d/1DoagNwfTxU8eV5FXzKtc1O5XJ6U5P_YHCNT5rl6O0So/edit?usp=drivesdk
2,"Hibah, Bantuan, Sumbangan yang tidak termasuk Objek pajak",,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:36:32 GMT+0800 (HKT),Tue Feb 18 2020 16:38:18 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),15mgB4GKF_K9MHvhL5Z6ncieZKseENYjYWWpKJURsAWU,https://docs.google.com/document/d/15mgB4GKF_K9MHvhL5Z6ncieZKseENYjYWWpKJURsAWU/edit?usp=drivesdk
1,Sisa Lebih yang Diterima oleh Badan atau Lembaga Nirlaba di Bidang Pendidikan,,PPh,3,Penghasilan,,,Tue Feb 18 2020 16:36:15 GMT+0800 (HKT),Tue Feb 18 2020 16:38:08 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),127FHvhJ_y4YiYS3QJT6uY-FVkMrUU1BkeAeqhQfnxDw,https://docs.google.com/document/d/127FHvhJ_y4YiYS3QJT6uY-FVkMrUU1BkeAeqhQfnxDw/edit?usp=drivesdk
1,Penentuan SPDN dan SPLN,,PPh,2,Subjek Pajak,,,Tue Feb 18 2020 15:47:47 GMT+0800 (HKT),Tue Feb 18 2020 16:26:08 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),17CwYpvA7tuAgGqBVyQum9O-PVMQ_u8bNiAYRoBfDGPE,https://docs.google.com/document/d/17CwYpvA7tuAgGqBVyQum9O-PVMQ_u8bNiAYRoBfDGPE/edit?usp=drivesdk
2,Subjek Pajak dan Bukan Subjek Pajak,,PPh,2,Subjek Pajak,,,Tue Feb 18 2020 16:24:31 GMT+0800 (HKT),Tue Feb 18 2020 16:25:54 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),19aP2wXcNDNquymFT4pP-WTKxh5K7PIP8sKEZV_09gLI,https://docs.google.com/document/d/19aP2wXcNDNquymFT4pP-WTKxh5K7PIP8sKEZV_09gLI/edit?usp=drivesdk
2,PPh Pasal 23,,PPh,9,PPh Pasal 23,,,Tue Jan 14 2020 13:39:20 GMT+0800 (HKT),Sun Feb 16 2020 16:19:06 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1ScWjELc7KMd8ESa9e7vZn8tdotjROztpXSXScHSZnAg,https://docs.google.com/document/d/1ScWjELc7KMd8ESa9e7vZn8tdotjROztpXSXScHSZnAg/edit?usp=drivesdk
1,PPh Final atas penghasilan WP yang memiliki peredaran bruto tertentu PP 23 Tahun 2018,,PPh,10,PPh Final Pasal 4 ayat (2),,,Wed Jan 08 2020 09:50:44 GMT+0800 (HKT),Sun Feb 16 2020 15:47:05 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),15E6TIZ9Ooc9fhRmtKn68bPv8x4sQGpWlzUuleHwXfic,https://docs.google.com/document/d/15E6TIZ9Ooc9fhRmtKn68bPv8x4sQGpWlzUuleHwXfic/edit?usp=drivesdk
14,Daftar Rekonsiliasi Fiskal Biaya Usaha,,PPh,4,Biaya Fiskal,,,Thu Feb 13 2020 16:26:18 GMT+0800 (HKT),Sun Feb 16 2020 14:41:17 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),1cVDB1xbk5bkHQ56YNkO179T-FPZMiCZb9Abq5jpZ_xI,https://docs.google.com/document/d/1cVDB1xbk5bkHQ56YNkO179T-FPZMiCZb9Abq5jpZ_xI/edit?usp=drivesdk
13,Contoh Soal Rekonsiliasi Fiskal + Kunci Jawaban,,PPh,4,Biaya Fiskal,,,Thu Feb 13 2020 16:26:57 GMT+0800 (HKT),Sun Feb 16 2020 14:41:09 GMT+0800 (HKT),document,Fri Dec 29 1899 23:54:17 GMT+0800 (HKT),181CyTb1R0QyMlQboRrytoDQk9_e1D7SPHToJKiqcy6M,https://docs.google.com/document/d/181CyTb1R0QyMlQboRrytoDQk9_e1D7SPHToJKiqcy6M/edit?usp=drivesdk
